timestamp,losses_mw,vm_mean,vm_min,vm_max,voltage_deviation_pu,max_line_loading,n_overloaded_lines,n_voltage_violations,total_load_mw,converged,total_gen_mw
2019-01-01 22:00:00+00:00,174.81808860909712,0.98581920781938,0.943,1.0400000000000003,0.022039201863922213,0.07021784143676212,0,2,3575.4335499299996,True,2336.7484459900493
2019-01-01 23:00:00+00:00,159.15343360944857,0.9861792555844864,0.943,1.0400000000000003,0.02178836588745599,0.06720502730757902,0,2,3437.0488655777995,True,2254.917087323792
2019-01-02 00:00:00+00:00,147.8657961549176,0.9864326748270593,0.943,1.04,0.02162370439838185,0.06526151986101819,0,2,3326.3647219805375,True,2169.8489657527766
2019-01-02 01:00:00+00:00,143.58508661711127,0.9865266809605169,0.9429999999999998,1.0400000000000005,0.02157547607238848,0.06443842710389576,0,2,3291.6110558397095,True,2151.824866795338
2019-01-02 02:00:00+00:00,145.97927912432638,0.9865232306605668,0.9430000000000001,1.0400000000000005,0.021572826628869533,0.06381758360378388,0,2,3275.252445044439,True,2158.0954382645714
2019-01-02 03:00:00+00:00,150.35915195190557,0.9863136283858766,0.9430000000000001,1.04,0.021723408322378283,0.06539683403646826,0,2,3399.6626645710176,True,2272.3489000459585
2019-01-02 04:00:00+00:00,165.74088446780522,0.9858396115245746,0.943,1.04,0.022057397058212976,0.06858582831011688,0,2,3623.2885267868114,True,2469.490998728043
2019-01-02 05:00:00+00:00,188.7482614041561,0.9849706215955688,0.9429999999999997,1.0400000000000003,0.022716771159479027,0.07405519677063019,0,3,4072.1685232637155,True,2898.1173595567057
2019-01-02 06:00:00+00:00,211.922678234159,0.9841578301778441,0.9417522296026505,1.0400000000000003,0.023329544882590196,0.07834275612342871,0,3,4486.121314479122,True,3328.4608066681594
2019-01-02 07:00:00+00:00,224.46588656074758,0.9836915506363072,0.9401611394107078,1.0400000000000003,0.023691202769738722,0.07904439876584557,0,5,4736.6511508759495,True,3567.486594860693
2019-01-02 08:00:00+00:00,313.185111108587,0.9825824772922873,0.9388008002235486,1.0400000000000003,0.024656729020322534,0.0703328657671946,0,5,4878.470285678429,True,2922.982650062905
2019-01-02 09:00:00+00:00,882.5576809458144,0.9762281796857786,0.8607739024190033,1.0400000000000005,0.03085646569965168,0.08742091652443157,0,16,4984.103993811289,True,1837.6799337830385
2019-01-02 10:00:00+00:00,1221.2848180747083,0.9721840072937417,0.7806948492215556,1.04,0.03493574079220599,0.10729614619563994,0,20,5075.827321552372,True,1728.86755012577
2019-01-02 11:00:00+00:00,1251.1956145459242,0.9718621622841787,0.7728050153324385,1.0400000000000003,0.035263134213987066,0.10921286666767077,0,20,5099.251331894027,True,1761.1207475691679
2019-01-02 12:00:00+00:00,1200.169334427109,0.9724812309142944,0.7815721848338422,1.0400000000000003,0.03464951134527002,0.10681032507922907,0,20,5037.319125210569,True,1703.9012468564397
2019-01-02 13:00:00+00:00,882.2242718552892,0.9763436077526518,0.8553348789848221,1.04,0.030777353133593255,0.08906600605215191,0,16,4918.215694746343,True,1806.6806678075955
2019-01-02 14:00:00+00:00,272.2474505444818,0.9830027891447695,0.9385937516336004,1.04,0.024374691609703653,0.06553209022606457,0,5,4919.207674347612,True,3135.0147103442014
2019-01-02 15:00:00+00:00,207.91609109404342,0.9835405675307436,0.9390899646591006,1.0400000000000003,0.02387730572975809,0.0743663091394597,0,5,4992.399114321769,True,4154.064870837232
2019-01-02 16:00:00+00:00,224.68855506583253,0.9829473200181742,0.937720183219272,1.0400000000000003,0.02434593504108938,0.07696546235039517,0,6,5289.368011653232,True,4564.562622053227
2019-01-02 17:00:00+00:00,218.628966041258,0.9830248109553463,0.9380622232876458,1.0400000000000003,0.02430670754175345,0.07524843975722284,0,6,5277.501447872068,True,4618.040398620979
2019-01-02 18:00:00+00:00,203.10785790874854,0.9834110942304702,0.9391488208157738,1.0400000000000005,0.024030760684730968,0.07209560669109083,0,6,5115.195941780112,True,4508.400272869909
2019-01-02 19:00:00+00:00,180.31235143042852,0.9840194489712633,0.9411633703888784,1.0400000000000003,0.023584088428843283,0.06788060252810148,0,5,4838.295940874664,True,4272.70470435457
2019-01-02 20:00:00+00:00,163.40763203201925,0.9845142878241117,0.9427625354680819,1.0400000000000003,0.023210259811602425,0.06436096674950284,0,4,4608.859463662721,True,4080.245951733987
2019-01-02 21:00:00+00:00,151.98489702820314,0.9848413188287954,0.9430000000000002,1.04,0.022951314257077946,0.06176221683420715,0,3,4454.6422238583355,True,3960.9681371588345
2019-01-02 22:00:00+00:00,132.72346951226376,0.9854999669979323,0.9429999999999997,1.0400000000000003,0.022441415821514935,0.057406727726445575,0,3,4130.701683755186,True,3665.8727258556714
2019-01-02 23:00:00+00:00,118.61040724771348,0.9860013837869782,0.9429999999999996,1.04,0.022052841256706316,0.054549373322055686,0,2,3869.9192341179223,True,3400.745829698769
2019-01-03 00:00:00+00:00,114.16722715585857,0.986169960620234,0.9429999999999997,1.04,0.021920243011447977,0.053649694305815544,0,2,3776.5770466441095,True,3300.983480375198
2019-01-03 01:00:00+00:00,111.02773208663098,0.9862570155362511,0.943,1.04,0.021861965292219728,0.052821336624229144,0,2,3733.8345492099184,True,3272.545444559125
2019-01-03 02:00:00+00:00,110.78159548466968,0.9862788767737303,0.943,1.0400000000000005,0.021841626728412757,0.05305239538309673,0,2,3717.137021229253,True,3237.964001548177
2019-01-03 03:00:00+00:00,114.72944124265284,0.986186214389285,0.943,1.04,0.021907474722820622,0.05412304723622324,0,2,3761.7728210875493,True,3259.257546035827
2019-01-03 04:00:00+00:00,126.09721523157836,0.9857949970115633,0.9430000000000003,1.0400000000000003,0.022198393917533466,0.05672838187710011,0,2,3961.32907144035,True,3444.2482214357256
2019-01-03 05:00:00+00:00,148.18402532644814,0.9850498794412942,0.9430000000000001,1.04,0.022768146086746474,0.06077885021755484,0,3,4343.268139751121,True,3839.629650194078
2019-01-03 06:00:00+00:00,170.02081581508412,0.9842923366059131,0.942003335941625,1.0400000000000003,0.023355863866324805,0.06465241472090007,0,3,4723.986698622371,True,4240.440603885232
2019-01-03 07:00:00+00:00,180.69493969560347,0.9838627294236165,0.9404617586730335,1.04,0.023694309016718536,0.06577008743371027,0,5,4967.642676422994,True,4378.833221918387
2019-01-03 08:00:00+00:00,224.58904327444205,0.9833603769626421,0.9391549890308695,1.04,0.02413067830763081,0.05656417640977708,0,5,5101.322869265624,True,3644.3191991770655
2019-01-03 09:00:00+00:00,485.1086657052265,0.9807360545215561,0.9162254973326637,1.0400000000000005,0.02657662405741363,0.07132411634175094,0,7,5137.4020358627195,True,2758.186312859553
2019-01-03 10:00:00+00:00,778.239074673247,0.977604539917176,0.8652767725038808,1.042072281938276,0.029560414998170373,0.09326653793333176,0,11,5231.46052671086,True,2399.6386490846367
